Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Status,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description
kopie-von-armband-nomad-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund10.png?v=1665088994,7,Armband NOMA lime,,,,
kopie-von-armband-nomad-azur,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft1.png?v=1665089006,8,Armband NOMA lime,,,,
armband-nomad-pink,"Armband NOMA pink","<p>Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD lime.</p><p>So kannst du mit deinem Hund im Partnerlook gehen. Das Armband ist verstellbar, es hat eine Öse und wird zum Verschliessen geknotet.</p><p>erhältlich in 2 Breiten: 1,5 cm und 2,5 cm</p>",Prunkhund,,Kollektion_NOMAD,TRUE,active,Breite,1.5 cm,,,,,,10,shopify,deny,manual,12.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund1.png?v=1665088855,1,Armband NOMA pink,FALSE,"Armband NOMA pink","Dieses wunderschöne geknüpfte Armband wird von local Artisans in Südamerika für uns gefertigt. Es passt perfekt zu Halsband, Geschirr und Leine NOMAD lime. So kannst du mit deinem Hund im Partnerlook gehen."
armband-nomad-pink,,,,,,,,Breite,2.5 cm,,,,,,10,shopify,continue,manual,15.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft1_f7a6fbf5-89bf-4ca0-92a5-84f76f7b0a9c.png?v=1665088864,2,Armband NOMA pink,,,,
armband-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/nomad-collection-armband-geknuepft-handgemacht-bunt.png?v=1665088873,3,Armband NOMA pink,,,,
armband-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/geknuepftes-hippie-armband-passend-halsband-hund2_e45f3ac3-4798-4bbd-8724-f5373ebe5a72.png?v=1665088890,4,Armband NOMA pink,,,,
armband-nomad-pink,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/products/boho-armband-passend-hundehalsband-bunt-geknuepft3_02cc32ca-95c4-4406-83d0-e22be20682c3.png?v=1665088899,5,Armband NOMA pink,,,,
essential-handschlaufe-basic-black,"ESSENTIAL Handschlaufe BASIC black","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-schwarz-umhaengen-haende-frei-hands-free-leash7_1600x_e409353b-5651-4680-ab5b-c021c6945d17.png?v=1727712848,1,ESSENTIAL Handschlaufe BASIC black,FALSE,"ESSENTIAL Handschlaufe BASIC black","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-basic-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-schwarz-umhaengen-haende-frei-hands-free-leash8_1600x_fb8fbc85-1e91-494e-a10f-12701eef7b06.png?v=1727712849,2,ESSENTIAL Handschlaufe BASIC black,,,,
essential-handschlaufe-basic-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-schwarz-umhaengen-haende-frei-hands-free-leash9_1600x_0aedb30f-5c3f-42b8-ad8b-06b43cfc701c.png?v=1727712849,3,ESSENTIAL Handschlaufe BASIC black,,,,
essential-handschlaufe-basic-olive,"ESSENTIAL Handschlaufe BASIC olive","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,"collection_calm,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-gruen-umhaengen-haende-frei-hands-free-leash11.png?v=1698498931,1,ESSENTIAL Handschlaufe BASIC olive,FALSE,"ESSENTIAL Handschlaufe BASIC olive","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-basic-olive,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-gruen-umhaengen-haende-frei-hands-free-leash12.png?v=1698498931,2,ESSENTIAL Handschlaufe BASIC olive,,,,
essential-handschlaufe-basic-tan,"ESSENTIAL Handschlaufe BASIC tan","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.<br></h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm </p><hr><p><br></p>",Prunkhund,Hundeleine,collection_calm,TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-beige-umhaengen-haende-frei-hands-free-leash11.png?v=1698498898,1,ESSENTIAL Handschlaufe BASIC tan,FALSE,"ESSENTIAL Handschlaufe BASIC tan","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-basic-tan,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/hundeleine-beige-umhaengen-haende-frei-hands-free-leash12.png?v=1698498898,2,ESSENTIAL Handschlaufe BASIC tan,,,,
essential-handschlaufe-candy,"ESSENTIAL Handschlaufe CANDY","<h4>Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein.</h4><p>Länge der Handschlaufe 24 cm - Breite 2.5 cm   </p><p> </p><hr><p><img><img><img></p>",Prunkhund,Hundeleine,"collection_aw24,springcleaning25,SS25",TRUE,active,Title,Default Title,,,,,,0,shopify,continue,manual,24.90,24.90,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gestreift-hundeleine1.png?v=1739803952,1,ESSENTIAL Handschlaufe CANDY,FALSE,"ESSENTIAL Handschlaufe CANDY","Handschlaufe zur Erweiterung der Essential Leine. Häng ein oder mehrere Unterteile ein. Länge der Handschlaufe 24 cm - Breite 2.5 cm"
essential-handschlaufe-candy,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gestreift-hundeleine2.png?v=1739803952,2,ESSENTIAL Handschlaufe CANDY,,,,
essential-handschlaufe-candy,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0521/5580/9949/files/handschlaufe-gestreift-hundeleine3.png?v=1739803953,3,ESSENTIAL Handschlaufe CANDY,,,,
